,price (CLP),rooms,size (m2),address
1080,370000,2.0,49.0,"Santa Isabel, Santa Isabel, Santiago"
1081,370000,1.0,32.0,"Avenida Vicuña Mackenna, Bogotá - Sierra Bella, Santiago"
1082,280000,1.0,30.0,"San Isidro 1 - 300, Santiago, Chile, Santa Isabel, Santiago"
1083,425000,2.0,45.0,"Lira, Santa Isabel, Santiago"
1084,225000,1.0,24.0,"Estudio Calle Serrano Metro Parque Almagro  661, San Diego, Santiago"
1085,550000,2.0,72.0,"Santo Domingo, Centro Histórico De Santiago, Santiago"
1086,360000,2.0,60.0,"Amunategui 695, Centro Histórico De Santiago, Santiago"
1087,440000,2.0,50.0,"Av. Vicuña Mackenna 1575, Ñuñoa, Santiago, Chile, Bogotá - Sierra Bella, Santiago"
1088,300000,1.0,33.0,"Aldunate Casi Con Matta 1d/1b, Parque Almagro, Santiago"
1089,270000,1.0,25.0,"Portugal 564, Santa Isabel, Santiago"
1090,260000,1.0,40.0,"Fray Camilo Henriquez/10 De Julio, Barrio Diez De Julio, Santiago"
1091,485000,2.0,49.0,"Carmen / Santa Isabel, Santa Isabel, Santiago"
1092,500000,2.0,55.0,"Avenida Almirante Blanco Encalada 2501, Santiago, Chile, Barrio República, Santiago"
1093,330000,1.0,33.0,"Franklin 160, Bogotá - Sierra Bella, Santiago"
1094,450000,2.0,44.0,"Gorbea 2400 - 2700, Santiago, Chile, Barrio República, Santiago"
1095,540000,3.0,68.0,"Carmen 1 - 300, Santiago, Chile, Santa Isabel, Santiago"
1096,410000,2.0,58.0,"Natanael Cox Con Santiaguillo, Parque O'higgins, Santiago"
1097,300000,1.0,28.0,"Av. Mapocho 1800 - 2100, Santiago, Región Metropolitana, Chile, Parque Los Reyes, Santiago"
1098,350000,2.0,52.0,"Sargento Aldea 1156, Parque O'higgins, Santiago"
1099,300000,1.0,30.0,"Padre Alonso Ovalle Con Serrano, Bulnes, Santiago"
1100,320000,1.0,35.0,"Arriendo Departamento 1d 1b Y Bodega, A Pasos De Metro Santa, Centro Histórico De Santiago, Santiago"
1101,600000,2.0,58.0,"Ejercito Libertador Con Toesca, Ejército - Toesca, Santiago"
